Address,Price,Links
"APARTMENT FOR SALE IN LAKE VIEW MOKATTAM, AL HADABA AL WOSTA","1,783,500 EGP",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mokattam-al-hadaba-al-wosta-lake-view-mokattam-4912691.html
"APARTMENT FOR SALE IN LAKE VIEW MOKATTAM, AL HADABA AL WOSTA","1,783,500 EGP",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mokattam-al-hadaba-al-wosta-lake-view-mokattam-4912691.html
"APARTMENT FOR SALE IN UNA COMPOUND, AL HADABA AL WOSTA","1,920,000 EGP",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mokattam-al-hadaba-al-wosta-una-compound-5139106.html
"APARTMENT FOR SALE IN UNA COMPOUND, AL HADABA AL WOSTA","1,920,000 EGP",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mokattam-al-hadaba-al-wosta-una-compound-5139106.html
"APARTMENT FOR SALE IN MIDTOWN CONDO, NEW CAPITAL COMPOUNDS","797,362 EGP",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-5209028.html
"APARTMENT FOR SALE IN MIDTOWN CONDO, NEW CAPITAL COMPOUNDS","797,362 EGP",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-5209028.html
"APARTMENT FOR SALE IN PALM HILLS NEW CAIRO, 5TH SETTLEMENT COMPOUNDS","1,591,000 EGP",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5206265.html
"APARTMENT FOR SALE IN PALM HILLS NEW CAIRO, 5TH SETTLEMENT COMPOUNDS","1,591,000 EGP",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5206265.html
"APARTMENT FOR SALE IN BLOOMFIELDS, MOSTAKBAL CITY COMPOUNDS","1,118,800 EGP",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-bloomfields-5203148.html
"APARTMENT FOR SALE IN BLOOMFIELDS, MOSTAKBAL CITY COMPOUNDS","1,118,800 EGP",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-bloomfields-5203148.html
